Guest Name,Gender,Race,Industry,Season,Episode,Number of guests,Episode Length
Rich Brian,Male,Asian,YouTube,5,4,1,22:10:00
Hannibal Buress,Male,Black,Comedy,5,5,1,24:03:00
Michael B. Jordan,Male,Black,Actor,5,6,1,22:27:00
Ty Burrell,Male,White,Actor,5,7,1,20:55:00
Charlize Theron,Female,White,Actor,5,8,1,23:26:00
Adam Rippon,Male,White,Sports,5,9,1,21:02:00
Gabriel Iglesias,Male,Hispanic,Comedy,5,10,1,18:41:00
Shawn Mendes,Male,White,Music,5,11,1,23:21:00
Philip DeFranco,Male,White,YouTube,5,12,1,23:43:00
Trick Daddy,Male,Black,Music,5,13,1,23:23:00
Tyra Banks,Female,Black,Actor,5,14,1,27:16:00
Alton Brown,Male,White,Chef,5,15,1,24:30:00
John Mayer,Male,White,Music,5,16,1,26:22:00
Johnny Knoxville,Male,White,Actor,6,1,1,21:03:00
Natalie Portman,Female,White,Actor,6,2,1,19:04:00
Marques Brownlee,Male,Black,YouTube,6,3,1,24:07:00
Joel Embiid,Male,Black,Sports,6,4,1,22:05
Tom Segura,Male,White,Comedy,6,5,1,26:15:00
Joji,Male,Asian,Music,6,6,2,26:40:00
Rich Brian,Male,Asian,Music,6,6,2,26:40:00
Wiz Khalifa,Male,Black,Music,6,7,1,23:21:00
Al Roker,Male,Black,Actor,6,8,1,24:13:00
Michael Cera,Male,White,Actor,6,9,1,24:29:00
Issa Rae,Female,Black,Actor,6,10,1,23:49:00
Rhett,Male,White,YouTube,6,11,2,28:26:00
Link,Male,White,YouTube,6,11,2,28:26:00
Jeff Goldblum,Male,White,Actor,6,12,1,32:35:00
Eddie Huang,Male,Asian,Chef,6,13,1,22:57:00
Chrissy Teigen,Female,Asian,Actor,7,1,1,24:49:00
Jack Black,Male,White,Music,7,2,2,24:59:00
Kyle Gass,Male,White,Music,7,2,2,24:59:00
Anderson .Pak,Male,Black,Music,7,3,1,25:01:00
Adam Carolla,Male,White,Comedy,7,4,1,27:47:00
Lil Yachty,Male,Black,Music,7,5,1,24:03:00
E-40,Male,Black,Music,7,6,1,23:56:00
Lilly Singh,Female,Asian/Indian Asian,YouTube,7,7,1,22:48:00
Blake Griffin,Male,Black,Sports,7,8,1,23:38:00
Bill Burr,Male,White,Comedy,7,9,1,27:17:00
